date,item_id,item_name,category,stock_sold,price,promo,item_replaced,new_item_added
2024-01-16,0,Rice,Grocery,31,95.94,1,0,0
2024-12-30,1,Wheat Flour,Grocery,40,38.5,0,0,0
2024-08-07,3,Salt,Grocery,65,94.69,0,0,0
2024-04-11,1,Wheat Flour,Grocery,47,64.06,1,0,0
2024-10-05,3,Salt,Grocery,47,11.63,0,0,0
2024-10-13,5,Toothpaste,Personal Care,26,94.72,1,0,0
2024-10-14,2,Sugar,Grocery,51,85.7,1,0,0
2024-04-22,3,Salt,Grocery,56,42.28,0,0,0
2024-10-03,4,Cooking Oil,Grocery,34,46.09,1,0,0
2024-09-05,9,Tea,Beverage,64,38.41,1,0,0
2024-07-26,7,Soap,Personal Care,62,85.5,0,0,0
2024-05-01,3,Salt,Grocery,53,51.22,1,0,1
2024-06-28,9,Tea,Beverage,40,48.47,1,0,0
2024-02-27,1,Wheat Flour,Grocery,49,98.8,0,0,0
2024-03-06,5,Toothpaste,Personal Care,54,80.41,0,0,0
2024-12-19,6,Shampoo,Personal Care,64,23.53,0,0,0
2024-07-23,8,Milk,Dairy,44,96.07,1,0,0
2024-10-14,1,Wheat Flour,Grocery,84,53.58,1,1,0
2024-02-10,3,Salt,Grocery,67,28.45,1,0,0
2024-12-30,6,Shampoo,Personal Care,31,21.43,1,0,0
2024-04-01,7,Soap,Personal Care,70,80.77,0,0,0
2024-03-23,8,Milk,Dairy,52,98.62,1,0,0
2024-03-25,2,Sugar,Grocery,75,65.44,1,0,0
2024-04-09,5,Toothpaste,Personal Care,47,13.12,1,0,0
2024-09-24,4,Cooking Oil,Grocery,38,66.41,0,0,0
2024-03-14,7,Soap,Personal Care,30,94.33,0,0,0
2024-11-09,6,Shampoo,Personal Care,47,75.66,0,0,0
2024-10-03,2,Sugar,Grocery,37,46.2,0,0,0
2024-10-18,8,Milk,Dairy,42,77.94,1,0,0
2024-11-09,7,Soap,Personal Care,59,11.83,1,0,0
2024-12-25,3,Salt,Grocery,47,69.47,0,0,0
2024-07-14,6,Shampoo,Personal Care,64,16.91,0,0,0
2024-07-02,7,Soap,Personal Care,50,39.12,0,0,0
2024-04-02,0,Rice,Grocery,51,28.44,0,0,0
2024-09-09,3,Salt,Grocery,54,25.83,1,0,0
2024-02-18,5,Toothpaste,Personal Care,46,52.07,1,0,0
2024-08-11,8,Milk,Dairy,70,54.08,0,0,0
2024-02-11,9,Tea,Beverage,24,33.21,0,0,0
2024-02-27,6,Shampoo,Personal Care,46,12.99,1,0,0
2024-12-23,8,Milk,Dairy,47,96.42,1,0,0
2024-08-16,7,Soap,Personal Care,40,78.44,1,0,0
2024-11-24,7,Soap,Personal Care,67,97.83,1,0,0
2024-06-22,6,Shampoo,Personal Care,61,23.18,0,0,0
2024-01-13,6,Shampoo,Personal Care,57,88.04,0,0,0
2024-06-21,6,Shampoo,Personal Care,31,24.11,0,0,0
2024-01-31,5,Toothpaste,Personal Care,61,70.18,1,0,0
2024-02-26,6,Shampoo,Personal Care,43,64.0,1,1,0
2024-02-12,6,Shampoo,Personal Care,65,28.58,0,0,0
2024-10-19,5,Toothpaste,Personal Care,22,10.53,0,0,0
2024-01-13,9,Tea,Beverage,107,68.5,0,0,0
2024-07-02,4,Cooking Oil,Grocery,36,69.57,1,0,0
2024-05-28,4,Cooking Oil,Grocery,51,22.63,1,1,0
2024-08-31,6,Shampoo,Personal Care,41,50.17,1,0,0
2024-03-01,3,Salt,Grocery,73,43.39,0,0,0
2024-06-29,8,Milk,Dairy,75,71.43,1,0,0
2024-09-26,1,Wheat Flour,Grocery,53,24.48,1,0,0
2024-10-14,4,Cooking Oil,Grocery,22,91.6,0,0,0
2024-02-21,1,Wheat Flour,Grocery,42,41.3,1,0,0
2024-12-06,2,Sugar,Grocery,62,16.5,0,0,0
2024-07-04,7,Soap,Personal Care,55,37.52,0,0,0
2024-07-12,3,Salt,Grocery,70,96.22,0,0,0
2024-09-25,6,Shampoo,Personal Care,40,67.53,1,0,0
2024-10-13,8,Milk,Dairy,35,21.35,1,0,0
2024-01-13,8,Milk,Dairy,57,81.85,0,0,0
2024-07-27,5,Toothpaste,Personal Care,54,45.38,1,0,0
2024-12-24,2,Sugar,Grocery,91,66.86,1,0,0
2024-08-16,8,Milk,Dairy,32,26.56,0,1,0
2024-12-25,9,Tea,Beverage,28,98.94,0,0,0
2024-03-02,6,Shampoo,Personal Care,61,42.33,1,0,0
2024-03-12,9,Tea,Beverage,55,70.25,1,0,0
2024-11-03,5,Toothpaste,Personal Care,49,29.38,0,0,0
2024-03-10,1,Wheat Flour,Grocery,70,66.98,1,0,0
2024-12-23,7,Soap,Personal Care,48,12.81,1,0,0
2024-08-09,1,Wheat Flour,Grocery,56,23.78,1,0,0
2024-01-28,2,Sugar,Grocery,39,88.62,1,0,0
2024-12-16,8,Milk,Dairy,67,73.55,0,1,0
2024-11-07,3,Salt,Grocery,47,62.18,0,0,0
2024-02-06,5,Toothpaste,Personal Care,48,85.5,1,0,0
2024-01-10,9,Tea,Beverage,61,77.18,1,0,0
2024-10-29,5,Toothpaste,Personal Care,67,37.32,0,0,0
2024-10-04,4,Cooking Oil,Grocery,30,44.08,0,0,0
2024-04-21,9,Tea,Beverage,5,93.37,1,0,0
2024-03-24,6,Shampoo,Personal Care,61,67.27,1,0,0
2024-08-08,0,Rice,Grocery,58,59.11,0,0,0
2024-04-05,0,Rice,Grocery,69,51.33,1,0,0
2024-01-24,7,Soap,Personal Care,68,34.61,0,0,0
2024-02-20,9,Tea,Beverage,53,54.56,0,0,0
2024-09-20,0,Rice,Grocery,41,46.57,0,0,0
2024-05-06,4,Cooking Oil,Grocery,22,80.88,0,0,0
2024-08-01,0,Rice,Grocery,47,36.83,0,0,0
2024-01-07,9,Tea,Beverage,86,35.08,1,0,0
2024-04-21,3,Salt,Grocery,53,46.68,0,0,0
2024-05-20,7,Soap,Personal Care,62,11.97,0,0,0
2024-09-23,8,Milk,Dairy,53,55.29,1,0,0
2024-05-04,9,Tea,Beverage,47,67.66,0,0,0
2024-05-13,3,Salt,Grocery,37,88.43,1,0,0
2024-04-29,4,Cooking Oil,Grocery,45,43.1,1,0,0
2024-11-14,6,Shampoo,Personal Care,61,56.65,0,0,0
2024-08-19,2,Sugar,Grocery,45,88.26,0,0,0
2024-10-08,6,Shampoo,Personal Care,52,59.12,0,0,0
2024-06-04,0,Rice,Grocery,50,53.96,1,0,0
2024-09-06,5,Toothpaste,Personal Care,60,85.5,1,0,0
2024-07-23,4,Cooking Oil,Grocery,26,27.88,0,0,0
2024-04-11,2,Sugar,Grocery,50,67.07,1,0,0
2024-10-12,9,Tea,Beverage,29,92.39,1,0,0
2024-09-19,4,Cooking Oil,Grocery,46,95.7,1,0,0
2024-07-20,4,Cooking Oil,Grocery,37,59.96,1,0,0
2024-12-28,1,Wheat Flour,Grocery,46,32.7,1,0,0
2024-07-27,9,Tea,Beverage,18,89.19,1,0,0
2024-05-25,8,Milk,Dairy,54,85.25,1,0,0
2024-12-25,2,Sugar,Grocery,46,71.48,1,0,0
