date,product,time,item_sold,total_product_available,new_arrival
2023-01-01,Basmati Rice,14:00:00,52,737,0
2023-01-01,Whole Wheat Flour,14:00:00,16,619,0
2023-01-01,Granulated Sugar,18:00:00,68,1196,293
2023-01-01,Iodized Salt,14:00:00,16,452,0
2023-01-01,Sunflower Cooking Oil,13:00:00,10,785,0
2023-01-01,Instant Noodles,11:00:00,20,938,559
2023-01-01,Breakfast Cereal,19:00:00,24,854,396
2023-01-01,Peanut Butter,20:00:00,37,675,0
2023-01-01,Green Tea,20:00:00,20,1403,514
2023-01-01,Instant Coffee,09:00:00,24,1411,596
2023-01-01,Whole Milk,20:00:00,13,662,0
2023-01-01,Orange Juice,10:00:00,59,1004,258
2023-01-01,Coca-Cola (Can),12:00:00,66,1144,296
2023-01-01,Bottled Water (1L),16:00:00,66,653,398
2023-01-01,Flavored Yogurt,19:00:00,63,1238,543
2023-01-01,Toothpaste,09:00:00,25,467,0
2023-01-01,Shampoo,15:00:00,28,913,394
2023-01-01,Bar Soap,18:00:00,12,838,435
2023-01-01,Body Lotion,11:00:00,57,1118,507
2023-01-01,Shaving Cream,09:00:00,38,1207,298
2023-01-01,Laundry Detergent,14:00:00,62,263,0
2023-01-01,Toilet Paper (Rolls),19:00:00,13,745,0
2023-01-01,Dishwashing Liquid,19:00:00,63,368,0
2023-01-01,Garbage Bags,12:00:00,47,1223,303
2023-01-01,Air Freshener,16:00:00,31,757,298
2023-01-01,Diapers (Pack of 20),13:00:00,58,627,359
2023-01-01,Baby Wipes,17:00:00,43,320,0
2023-01-01,Baby Powder,19:00:00,60,618,0
2023-01-01,Baby Cereal,18:00:00,24,431,0
2023-01-01,Formula Milk,19:00:00,70,780,0
2023-01-01,Men's T-shirt,15:00:00,47,1249,346
2023-01-01,Women's Jeans,19:00:00,31,1343,451
2023-01-01,Kids' Shorts,14:00:00,54,1266,491
2023-01-01,Socks (Pack of 3),12:00:00,53,1335,405
2023-01-01,Cotton Towels,13:00:00,66,1181,306
2023-01-01,AA Batteries (Pack),16:00:00,42,572,273
2023-01-01,USB Charging Cable,20:00:00,40,822,429
2023-01-01,LED Light Bulb,12:00:00,18,329,0
2023-01-01,Bluetooth Earphones,16:00:00,42,841,350
2023-01-01,Power Strip,11:00:00,62,709,0
2023-01-01,Chocolate Cookies,12:00:00,31,298,0
2023-01-01,Salted Chips,11:00:00,48,278,0
2023-01-01,Trail Mix,11:00:00,41,723,0
2023-01-01,Protein Bars,11:00:00,20,465,0
2023-01-01,Microwave Popcorn,12:00:00,14,575,0
2023-01-01,Notebook,10:00:00,50,684,0
2023-01-01,Ballpoint Pens,09:00:00,20,1128,480
2023-01-01,Sticky Notes,20:00:00,58,882,0
2023-01-01,Gift Wrap,19:00:00,21,1025,421
2023-01-01,Hand Sanitizer,17:00:00,21,759,285
2023-01-02,Basmati Rice,11:00:00,46,691,0
2023-01-02,Whole Wheat Flour,15:00:00,11,608,0
2023-01-02,Granulated Sugar,09:00:00,56,1140,0
2023-01-02,Iodized Salt,11:00:00,17,435,0
2023-01-02,Sunflower Cooking Oil,16:00:00,9,776,0
2023-01-02,Instant Noodles,17:00:00,19,919,0
2023-01-02,Breakfast Cereal,13:00:00,15,839,0
2023-01-02,Peanut Butter,14:00:00,35,640,0
2023-01-02,Green Tea,16:00:00,23,1380,0
2023-01-02,Instant Coffee,09:00:00,19,1392,0
2023-01-02,Whole Milk,12:00:00,10,652,0
2023-01-02,Orange Juice,15:00:00,50,954,0
2023-01-02,Coca-Cola (Can),17:00:00,53,1091,0
2023-01-02,Bottled Water (1L),17:00:00,59,594,0
2023-01-02,Flavored Yogurt,18:00:00,48,1190,0
2023-01-02,Toothpaste,17:00:00,19,448,0
2023-01-02,Shampoo,09:00:00,26,887,0
2023-01-02,Bar Soap,09:00:00,10,828,0
2023-01-02,Body Lotion,11:00:00,46,1072,0
2023-01-02,Shaving Cream,20:00:00,34,1173,0
2023-01-02,Laundry Detergent,14:00:00,47,216,0
2023-01-02,Toilet Paper (Rolls),12:00:00,16,729,0
2023-01-02,Dishwashing Liquid,20:00:00,55,313,0
2023-01-02,Garbage Bags,13:00:00,40,1183,0
2023-01-02,Air Freshener,15:00:00,23,734,0
2023-01-02,Diapers (Pack of 20),12:00:00,46,581,0
2023-01-02,Baby Wipes,10:00:00,40,280,0
2023-01-02,Baby Powder,17:00:00,50,568,0
2023-01-02,Baby Cereal,15:00:00,20,411,0
2023-01-02,Formula Milk,10:00:00,58,722,0
2023-01-02,Men's T-shirt,12:00:00,35,1214,0
2023-01-02,Women's Jeans,13:00:00,25,1318,0
2023-01-02,Kids' Shorts,15:00:00,48,1218,0
2023-01-02,Socks (Pack of 3),18:00:00,48,1287,0
2023-01-02,Cotton Towels,10:00:00,56,1125,0
2023-01-02,AA Batteries (Pack),11:00:00,34,538,0
2023-01-02,USB Charging Cable,19:00:00,32,790,0
2023-01-02,LED Light Bulb,13:00:00,11,318,0
2023-01-02,Bluetooth Earphones,10:00:00,33,808,0
2023-01-02,Power Strip,11:00:00,53,656,0
2023-01-02,Chocolate Cookies,14:00:00,25,273,0
2023-01-02,Salted Chips,10:00:00,38,240,0
2023-01-02,Trail Mix,15:00:00,35,688,0
2023-01-02,Protein Bars,16:00:00,13,452,0
2023-01-02,Microwave Popcorn,09:00:00,17,558,0
2023-01-02,Notebook,15:00:00,42,642,0
2023-01-02,Ballpoint Pens,13:00:00,16,1112,0
2023-01-02,Sticky Notes,17:00:00,54,828,0
2023-01-02,Gift Wrap,12:00:00,20,1005,0
2023-01-02,Hand Sanitizer,11:00:00,17,742,0
2023-01-03,Basmati Rice,18:00:00,40,651,0
2023-01-03,Whole Wheat Flour,11:00:00,15,593,0
2023-01-03,Granulated Sugar,13:00:00,60,1080,0
